title	body	date	rating
This new version of Skype is 'crap'…	This new version of Skype is 'crap' please bring back the old one.	2018-10-31	1
Trust Pilot need to introduce a 0 star…	Trust Pilot need to introduce a 0 star rating.	2018-10-27	1
I used to really enjoy using Skype but…	I used to really enjoy using Skype but not now.  Since the so-called upgrade it has been absolutely useless. I can't even tell who is online and who isn't.  How can a team of 'professionals' completely wreck what used to be a super system? They should put it back exactly how it was.	2018-10-26	1
the new Skype is GARBAGE	the new Skype is GARBAGE, this people are either stupid or there is a different agenda going on... either way, Skype is a thing of the past now, no longer using it	2018-10-24	1
Skype now not worth using	Most people just wanted to use Skype as a internet phone application, not as a social media application. The latest upgrades have distroyed a good product which used to deliver. I have simply stopped using it and moved to FaceTime and WhatsApp.	2018-10-24	1
Skype 8 is simply garbage	Skype 8 is simply garbage. Unusable, now using 7.40 which will stop working in a few days. Considering stopping using skype at all when this happens.	2018-10-24	1
Never using Skype again	"Skype used to work great. No idea why all the changes have been made but it's bull. I've been using Skype Messenger since 2010 and in the last year I've lost more posts, *missed* more posts and lost more information than ALL the other years combined. I'm switching to something else. It's F-ing ridiculous. I don't know what microsoft was thinking when they ""upgraded"" Skype but they need to fix it. They've lost me and my friends who use it for *good*."	2018-10-22	1
Skype: rudest most incompetent customer service and help people don't want to do their job.	I'd used skype for years with little issue but I've never needed to reach customer service. Recently my credit card didn't go through for a purchase (not the banks issue as I called my bank twice to confirm) and then when I went to the chat help (you can only use chat or email for support) they took me round and round.... Finally I was so fed up I found a number to call Microsoft who bought skype and they took me round and round too and in addition were incredibily rude, didn't listen, talked over me and generally really unpleasant to deal with then finally told me they'd only work with me through the chat whom I explained were not able to help me and I wasn't dealing with anymore after several days of getting no where using chat support. Totally stupid/time wasting situation.. Honestly, all they needed to do was cancel my transaction and/or take my card manually (which I am not able to do on my end). They didn't need to be rude and difficult to work with. Have lost me as a customer. I'll take my business elsewhere and I suggest you do the same.	2018-10-17	1
Complete Rubbish	If it were possible to give 0 stars I would. This piece of garbage is unusable. We resort to FB messenger now because at least it works! And is user friendly. Restore Skype to what is used to be - and conduct USER TESTING, that is, use people in the real world to actually test it before you put it onto the market. It's only a matter of time before people stop using it completely.	2018-10-16	1
Even worse than the last!!!	Every new version of skype is worse than the previous ones.  I use the desktop version. It's a design nightmare.  Ugly beyond belief. Very difficult to use.  Stupid symbols all over the place, like an insect infestation. Endless useless or incomprehensible options.One thing is obvious:  the perpetrators of this mess just LOVE to complicate things.  If they been asked to mess up skype they could not have done a better job.   I used to rely on skype but now I find it unusable.	2018-10-11	1
piece of fucknutting donkey shitballsonskypecockfaces	piece of fudging donkey shitnozzle too bad they don't claim this to stay grounded in their fucktrottle product. the upgrades so called upgrades are pieces of fuckcrap man. I mean I never hated anything this much in my life. FIRE YOUR DEVS THEY ARE CRAP IN THE WORST WORD but I can't swear. unless I get creative you shitnozzle cuntdickbags.	2018-10-09	1
Skype 8: Poor UI updates forcing people to app store	"The user interface resembles something from a drunken university midterm project and comes coupled with a way-too-regular and mandatory idiotic update mechanism which requires admin privileges (and is an obvious ruse to force people to ""Microsoft Store"").This piece of rubbish is, unfortunately, unusable.We are seeking alternatives to it now, well done Microsoft for being ""clever""."	2018-10-04	1
Well done MS	Well done MS, if your goal was to kill Skype utterly and completely you've done it with the flying colors. Replacing Skype classic version with that atrocity of the version 8 is a pure business suicide.Those incompetent nincompoops who are making shots over there should be given the medals for being the worst in what they do. And the guys who have nurtured and developed that monstrosity should be all lined up and mercy shot in the foreheads. Can work other way around as well.Seriously, the level of pure stupidity behind that company decision is beyond the comprehension of any sane person.Next time you decide to screw us over before purchasing and taking over another of our favorite programs, please for the love of God consider donating those billion of dollars to some good cause. There are so many sick and hungry kids and since you're already wasting your money at least try to do some good in this world.	2018-10-04	1
Absolute rubbish.	It was bad when Microsoft took it over, and they have systematically made it worse; RAM hungry and not at all user friendly. For example, the notifications no longer show on the task bar - they remain hidden unless the user interrogates.	2018-10-02	1
worst service ever	worst service ever. Can't download invoice of money I spent. This means more money down the drain	2018-09-30	1
Unlear video quality	Unlear video quality, bad connectivity	2018-09-27	2
Truly Awful - Do Not Use	"I have tried to set up a Skype account and it is the worst customer experience I have had in a long time. I first try to do so using my mobile number, it says that this number is already registered to an account, which it isn't (as far as I'm aware). As a result I try signing in with the same number and it says ""account doesn't exist""!I try to remove my mobile number entirely form their records so I can ""start again"". However, it doesn't let you remove a number without signing in, which I can't do because I don't have an account!Next I try signing in with my email address (which is a personal domain) and again it doesn't let me because Skype only accepts Microsoft accounts.I try looking for a customer support number I can ring so I can try and remove my mobile number from their system/records. Apparently there isn't one, meaning that I can't create an account with my mobile number or email address.Terrible experience, I would like to think that this comment will be picked up and they can take the comments on board, however, given the fact I am one of 800+ negative reviews I highly doubt this."	2018-09-26	1
Skype has changed for the worse over…	Skype has changed for the worse over the years. I had a bunch of marked contact numbers in the old version of skype, which vanished with the new version, why oh why couldn't it carry those contacts over? Sometimes when I am on a call with someone , there is no history of the call being made after I close the call. I could see their number whilst on the call, and then it just disappeared.  The new version is terrible. Please bring back old skype and just leave it alone.	2018-09-26	1
Godawful	Godawful. Unusable now. Example: Someone calls, and you can't now automatically add number as a new contact. This should be a basic. Only option given is arranging a group chat.	2018-09-25	1
You've been in business for over a…	You've been in business for over a decade. Shouldn't the software work by now?  Frequent problems detecting and integrating with hardware, poor interface (why no intuitive resizing of video panels?). I'm recommending our business find an alternative to Skype for business.	2018-09-20	1
I don't know what it is	I don't know what it is, but every release of Skype over the last year has made the software worse. In the latest iteration, MS decided to give messages an orange background, severely lessening the readability because of reduced contrast.Only slightly less painful are the smilies that show up with EVERY message. You're in a serious or difficult conversation and the inappropriate smilie is there every message.And those are just the most excruciating issues. Get a grip MS.	2018-09-20	1
Skype has become totally stupidified	I have been using Skype for years, which has grown to become a cornerstone for my work. Skype 8 killed all of that with one well-aimed blow. Where to start? Essential features are still missing (advanced status control, multiple chat windows, adding phone numbers to contacts, compact view, searching within messages, etc). I find the user interface downright ugly, with bizarre colors and sounds, and is confusing to navigate. Hey, the interface does not even follow Microsoft's own guidelines for the equally ugly UWP system.  Last, Skype has gained stupid features such as highlights and stickers - STICKERS?! - in order to copy other chat tools.There are some positive new features, such as the media gallery, but this is only really needed if you somehow fail to organize downloaded data on your computer.Skype used to stand out for its sleek, simple, and elegant experience. Now it has been reduced to look like one of many, at the cost of essential functionality. Microsoft, what where you thinking?	2018-09-19	2
This has gone down hill	This has gone down hill. Very few things work like one wants and it is not intuitive anymore	2018-09-18	1
Skype is unacceptably terrible	Why change the Windows version to the crappy mobile version just to rival other social media apps? Microsoft, I hope you will learn from this dumb mistake and not force people to use your worse version in the future	2018-09-17	1
Skype used to be great	Skype used to be great. It is now so rubbish, I don't want to use it anymore.	2018-09-13	1
I used to love Skype but then Skype 8…	I used to love Skype but then Skype 8 came to the picture. I grew up with the Skype experience and it got deeply rooted in my day-to-day activities. However, with the newest version, the classic program got stripped out of its previous functionality, and the design got altered (to some extent better, to other - worse). Notifications are terrible, split view is not supported, it's supposed to run in the background but nothing indicates you are online. What a terrible app, now I am looking forward to the day when I will entirely stop using it.	2018-09-13	1
Had to reset my password for skype	Had to reset my password for skype.  Logged back in and....ALL my contacts disappeared. Completely ruined this once stable easy to use product. Well done Skype! Uninstalled and now using one of the many alternatives. If I could give Skype a negative or zero rating I would!	2018-09-10	1
Good program when it started	Good program when it started but trying to up grade the sexed-up version for mobile is an absolute disaster.  they really should test the software before releasing it onto the unexpecting public!  With no option not to 'sync contacts' from my mobile, FOUR hours later it's still not completed - now I know I'm popular, but . . . !!!!!  They really have cocked this up!	2018-09-08	1
Good service	Good service	2018-09-07	5
From professional program to kids app	Skype used to the go-to program for any kind of professional communications. Unfortunately they decided to reposition Skype as a kids app (like MSN was back in the day).The new version is far inferior to the previous one in almost every way. It is slow, the UI is unintuitive and half the options seem to be missing. It even lacks basic functionality such as the ability to search your conversation.People need a reliable and robust program that allows for instant messaging, calls, video calls and screen sharing. Previous version fulfilled that need most of the time. The new version fails miserably.	2018-09-07	1
Microsoft, please give us Skype back!	"I used Skype for many years to communicate with my freelancers and clients. But Microsoft managed to incrementally destroy all the usefulness of this wonderful software. Bloated it with unnecessary frills and embarrassing colors the new interface is reacting slow and laggy. The service got extremely unreliable, not sending messages for hours.Recently i saw an old version of Skype running on a computer and felt this deep pain inside my heart, like you feel when you lost someone. I was not aware how painful it can be to loose a piece of software. Software i am using for hours each day.If by chance somebody from MS reads this message, i politely ask to remove all the ""design"" from Skype and make it a real, stalwart tool & service again. People are leaving Skype in droves, migrating to other services like slack because they just can not work with it anymore.If i would be MS i would rather have invested in the screen sharing experience (like adding a mouse pointer or some interactivity) than adding useless kitsch."	2018-09-07	1
Microsoft have ruined skype by turning…	Microsoft have ruined skype by turning it into a app. It doesnt even bloody work properly!!!! why turn something working to a pile of crap! its like turning Google Chrome into Internet Explorer!!!!!	2018-09-07	1
About the new skype I dont like i only…	About the new skype I dont like i only can see 4 cams, otherwise its okay, sometime we are 8 People in a call, and all are on webcams its a bit sad i can only see 4 of them you know, love my skype family from all over the world <3 i used skype for 8 years i know so many ppl, they dont like the update sorry.	2018-09-06	1
It seems redesigned by a phone only…	"It seems redesigned by a phone only freaking addict to social texting.  Don't you know ""Windows"" made windows because of the ability to have several ""windows"" with different content at a time ?!!!I understand the new skype focuses on mobiles. But it at least give the chance to the user to configure if it wants the old multi windows style in the desktop application. Having multiple chats now, is ridiculous annoying. Before you can even have all the windows on screen. Now, back, find, forth, check, confuse, ... awful. And what happen with the ""Away"" status. So handy.  Of course, now they assume you keep your phone with you all the time. Well, guess what, I can not keep my desktop with me all the time! Since I am a developer it is connected to lot of stuff and It won't fit in a backpack."	2018-09-06	1
new skype version is terrible	new skype version is terrible, I unistalled it.microsoft shame of you	2018-09-06	1
New version is absolute garbage	New version is absolute garbageIts really annoying that having reverted to old version it keeps trying to update to the Crap version	2018-09-05	1
the desktop software is actually not…	the desktop software is actually not that bad, it works fine most of the time. But the update window is incredibly annoying, and the new version is not that good. the browser app is pretty slow and i never used the mobile app so can't say much about it.In the long run, it's an ok software to use, although needs some improvements.	2018-09-05	3
Don't use it	"Absolute garbage. Every time my iPhone receives an ""update"" it gets worse. Or it will improve and the buttons actually work until the next ""update."" I literally can't hang up until the other person does or the keypad won't work. Also the screen will be visible for a split second and then go dark again. Useless."	2018-09-04	1
horrendous to use	horrendous to use, stupid design, fails at nearly all connections. The original skype was awesome compared to this piece of design.Microsoft have ruined a once great program.do yourself a favour and use anything as there all better than this now.	2018-08-30	1
Not a patch on the Classic version	Not a patch on the Classic version. Devoid of options and flexibility	2018-08-30	1
Another fine mess, Microsoft...	"Used to use it and it was fine for a free program. Didn't use it for a couple of years. Then Microsoft bought it... *gigantic sighing sound*Heard it was now full of ads and impaired functionality. I was informed or found out that my account had been hacked or something, nice going Microsoft. Their recovery process involved me having to specify the date that I first installed skype, to the month. I couldn't remember the year that I installed it - I hadn't used it for 2 - let alone the exact month. So even though I could name all my contacts by first and last name, and email, from memory, and obviously had access to the email address I signed up for skype with and was using it for this recovery process, they wouldn't let me back in. Because I couldn't remember the exact month I first installed it.""Oh yes, now I'm likely to sign up for another account on this competent application from this competent company"" — said no one ever."	2018-08-28	1
Utter rubbish	Utter rubbish. In fact I'm thinking much harsher words than that but feel it best not to use them here.	2018-08-28	1
Worst SKYPE version ever	"Unfortunately, zero points is not possible. SKYPE has been a staple communications and meeting application for many years, until the then labelled 'classic' version was force-replaced by something unusable. No parallel chat windows, no easy way to interact with multiple contacts, and an interface that seems to be designed as a throwback to Windows 3.1 days. How this has been rolled out and survived usability testing is beyond me, but unless this mistake is corrected, SKYPE will no longer be viable for business or personal use for me. Simple fails such as not being able to customise a view (e.g. ""online contacts"") to be persistent when switching to a conversation and back are so disruptive that I cannot recall any worse designed GUI for any software in many years."	2018-08-26	1
Microsoft, what a joke	These guys have so called 'tough' tech interviews to hire top of the top engineers. That's the add of it. The real thing is that they are all dump, stuck at the bottom of their own dumpiness, without being able to see anything out of their Plato's cave. Here is the prove: the new skype.P.S. They lost the embedded segment, the mobile segment, and soon they going to loose the PC segment, Their OS Is an over-bloated API collection that it can be fixed only by their AI machine learning, you know the one they pretend they have, the one which it could not fix the Word, which keep crashing after 30 years of 'spaghetti coding' ... he he he what a dark joke... he he he, I cannot stop ...:))  :)  :)  ...	2018-08-24	1
Unbelievable, assylum tech	Unbelievable since panopticon company microsoft start 'writing' code. On my samsung TV stop working, on my Linux machine is a mess, under windows crap 10 is a UI mess with no logic, I cannot find any options. Looks like is designed by some asylum institution...	2018-08-24	1
The latest Version of Skype is…	The latest Version of Skype is dreadful, I uninstalled it, downloaded the original stable version 7.40.0.151.msi installed this version and it works perfectly as the original version, if you do this go to options and disable software automatic updates.	2018-08-21	1
Skype needs to be updated and modified!!!	Skype needs to be updated!!!Previous versions of Skype were far better. Skype has become a **** app since Microsoft has taken it! Trouble connecting (username)... took too much time; lost my interview!!!	2018-08-21	1
bloated crashing always sending piece…	bloated crashing always sending piece of dungaroo doo doo	2018-08-21	1
Dreadful interface	Dreadful interface, user hostile on PC.  Presence no longer works properly.	2018-08-20	1
Can't log in anymore and nothing happens	Earlier on we could log in to Skype with our different user names and now that's not possible. Accounts that I've added money to and that I have lost now!!Now that isn't possible and I can't even log intro Skype with my office365 - NOTHING happens!!!I decided to not used Skype years ago and today where I needed to call abroad, I know why I stopped using Skype!	2018-08-20	1
Microsoft does not care	This version of skype has zero customization, and the interface is ugly as sin.  This version also no longer allows for window conversations to pop out so you can only do one conversation at a time.  Honestly they are killing skype faster than they are fixing it.  This latest update is clearly a sign of a company that no longer cares about the quality of their program nor stability and usability.  Their just doing what they want and we have to scream as loud as we can at them to get them to listen.  If they had to only use their own products they would feel the same way we do, it would be hell in their offices.  I bet any of them use discord or some other app, so all in all I give this program as it is a 1 star rating.  Use skype classic if they do not threaten it's existence with a set expiry date again like whining children not getting their way.Before you try to change the program fix it and fix what is wrong then work on making it look how you want.  If you can't fix what you broke, then why bother?  Fix the contract list issues, fix the chat history issue, fix the lack of customization, fix the program and then make sure we are happy as well as YOU ARE.	2018-08-19	1
Latest Skype version (8.28 Win10) is…	Latest Skype version (8.28 Win10) is unbelievably bad. Can't believe Microsoft quality control is this bad. Why make program this important worse by each version? Many years ago Skype was working perfectly fine. Now contact state is unreliable, status message line is not shown, chat is sometimes broken, Skype does not remember contact list settings, etc... Ok, If you can get video chat working, then connection is satisfactory. Bu please, make Skype better!	2018-08-19	2
It´s the worst skype version I´ve ever…	It´s the worst skype version I´ve ever worked with.-In a skype call it´s almost impossible to chat with others and see all your contacts?!- searching through a specific chat...It´s not possible anymore. Now there is a global search which searchs through everything...I really don´t get it...Those are only 2 of the things which are really annoying me. I want the old version back.	2018-08-19	1
Skype used to be fine why did Microsoft broke it	I use Skype for work for more than 10 years .This new interface is impossible to use for me.i can't have a window per conversation anymore plus closing it kill the application instead of just minimizing as it used to.I can't afford security risk linked with downgrading to previous version so I'm actively looking for another solution.	2018-08-16	1
My account was blocked and I never…	My account was blocked and I never managed to get it back. I lost all the credit on it and the live chat agent could not solve the problem, so had to create a new one.	2018-08-16	1
What have you done Microsoft!?	I am sorry, but the new update for MAC is just HORRIBLE!	2018-08-15	1
The recent update is very difficult	The recent update is very difficult. The last version was great and really user friendly, why have you made so many changes for the worse? Bring back the old version!!!	2018-08-15	1
Skype used to be tele-contactable	"Skype used to be tele-contactable, helpful and easy to use. I think Microsoft is trying to kill it by making it as user-unfriendly and remote as possible. As a multiple stroke victim (7 in 18 months) with limited manual dexterity, typing on live chat is exhausting and difficult (made more so than necessary by the tiny window a customer has in which to explain his/her problem.  The message is clear:""GO AWAY, we're not really interested in your problems with our now-restricted service!"""	2018-08-14	1
I am sure that whoever is in charge of…	I am sure that whoever is in charge of Skype wants to drive all the users to some other product as successive updates have made this once great program almost unusable. All of the control has gone. All the user settings are gone. All the bells and whistles that made the program great are replaced by unfriendly unhelpful screens and a generally amateurish look and feel. Way to go Microsoft!	2018-08-14	1
The new Version is horrible	The new Version is horrible - How could this have happened. Everything is completely trashy. No overview, bad design no control over any function... The whole thing feels like clicking in Hell.	2018-08-14	1
New Skype i awful and no chance to…	"New Skype i awful and no chance to customize. And I don't like when someone says ""you MUST install something new because we did ANOTHER version of Skype..."" That why I'm going to install Slack. Bye bye Skype."	2018-08-14	1
Not Good	The Things missing I noticed was no ability to change font size and when you block someone temporarily, they disappear from your friends list and there is no way to get them back.If this is where skype is going, all it's users will be finding other platforms.It felt bad enough when BIG BROTHER bought Skype.Now they want to make it worse?	2018-08-13	1
Worst Skype version ever!	Microsoft, what are you doing? Those who launched this, don't use Skype, do they? It's a terrible version. It lacks possibility to customize it or set it up, and this on top of a very bad UI. Just few examples:- You don't go away automatically, when you are off (not even such status exists).- No more compact vs complete view. The pseudo compact view takes 1/3 of my screen + you need to click at least twice! to change the screen from one contact to another (as you need to go through the main list). - Chat notification is a complete mess. I could continue, but you got the point.Honestly, I'm giving this star, because I cannot write a review without it!	2018-08-13	1
this new update is like going back to…	this new update is like going back to 1995, totally unuseable, gave it 1 star as there are no negative stars	2018-08-13	1
I HATE THE NEW SKYPE. No way to add contacts or make calls.	Why have they messed around with Skype again! There is no way to add contacts to the new version,, no way to see how to make calls.  I HATE IT! What was wrong with the last version?????????	2018-08-12	1
Used to be a great app that worked…	Used to be a great app that worked perfectly, until Microsoft bought it out.Since then they 'improved it' by adding over zealous noise-cancelling which will cancel out the conversation if there is any background noise. They've added more features that no-one asked for or needed making the installer pointlessly bloated.Their support is terrible, as in non-existent. You can give feedback which is completely ignored. You can email them but they never reply.The latest update (the worst version ever) has an unnecessarily larger single all-encompassing GUI which now won't let you have more than one chat window open, or have a chat window AND your contacts viewable without expanding huge window open.Worse, if you try to install any previous version, it will claim it 'can't connect' - of course it can connect, but it's forcing you to 'update' to the new crappy 'limited use' version.If you're looking for a reliable Vid/Voice/Chat client compact minimalist GUI, it's definitely NOT Skype !!	2018-08-10	1
I am not sure why would you change…	I am not sure why would you change something which was absolutely amazing to absolutely crap! Skype's latest version is the worst version ever and I am saying this after having been using Skype on a daily basis since 2010!The only reason why they would make it worse is to push people to get the more premium paid version of it or they may be coming up with a new product and want people to jump on to that. If this is not improved soon, Skype will be history soon!	2018-08-09	1
Extraordinarily inefficient	Extraordinarily inefficient, badly run and unhelpful. Skype seems to have gone to the dogs since Microsoft got involved - they don't respond to any requests for help and they make it almost impossible for you to sign in and use their services conveniently, though they are of course only too happy to take your money.    Altogether appalling customer service - much like their parent company Microsoft who claimed to have lost all of my emails and who then spent over 45 hours on the phone with me trying to persuade me that yes they could restore them, but failed utterly.	2018-08-09	1
Unbelievably obnoxious and not…	"Unbelievably obnoxious and not personalized service. If you don't have a problems it works ok. However,  if for any reason you stuck,  technically or financially, you screwed. I had yearly subscription for unlimited calls. They suspected some fraud activities for whatever reason is. It took me 6 months and 4 hours of calls to remove the block of the account. Guess what, I requested to extend the subscription for 6 months that were paid for but unabled for use, they said NO. No explanation,  but ""unfortunately we won't extend and won't prorate"". Simple NO. Microsoft is obnoxious and ignorant empire, where customers worth nothing."	2018-08-08	1
There was an issue with my Skype…	There was an issue with my Skype account that prevented me from gaining access. This was not a fault on my part and after several emails and calls to try and sort out the situation, Skype were still unable to grant me access. Not only did I loose my network of contacts, many of which I will not be able to find again, but I also lost over £20 of credit to which Skype refused to reimburse tor transfer to my new account. Very poor!	2018-08-08	1
I cant see any of my contacts online	I cant see any of my contacts online, its horrible to use, I want the old good skype back!!!	2018-08-08	1
Unacceptable, but you can reinstall Skype 7	I have been using Skype for many years. Skype 8 is just awful. However, you can reinstall Skype 7 over the new version. If you do not have the old installer, search for SkypeFullSetup.exe or skype_7.40.0.104.exe and install that. Do not upgrade again. There's a short announcement for Microsoft on a Skype support forum that the 1 September 2018 deadline no longer applies.Why is it bad? Uses huge amounts of screen space;many features of Skype Classic are missing. You cannot use a headset and have it ring on the PC speakers.	2018-08-08	1
Dear God MS	"Dear God MS. What are you doing???Skype was a wonderful product until the last few years. The ""upgrades"" and ESPECIALLY the UI now is terrible. TERRIBLE. Why the hell don't you TEST with your loyal users BEFORE you send the product out? My whole company has used Skype for years and we almost live on the thing. But now.... we are all uniformly scrambling to find another system.You simply MUST let pro users be able to customize the UI. All the things people complain aout the new UI below are real and true. WHY WHY WHY do I have to be SUPER-CAREFUL now that I don't hit ""Enter"" or the message simply flies out to the recipient. CTRL-Enter should still be available. There are DOZENS more examples. Even the SOUNDS now are super-annoying.Please get back the Ver 7 functionality. Revert to the code that worked, PLEASE. I've used this product since the very beginning and it's a crying shame what you are doing to what was a perfectly wonderful program. I *will* change (and so will my entire company) if this does not get sorted. So, so so sad. Sigh."	2018-08-08	1
If I could give less than 1 star	If I could give less than 1 star, I would. Skype used to work, then Microsoft bought it, now it's one of the worst programs I've ever had the displeasure of using. The state of Skype 2018 is simply unacceptable. If I could find the person or people responsible; I would choke the life from their throats.	2018-08-07	1
Skype 8 is a big pile of horse S**T	Skype 8 is a big pile of horse S**T. The UI is horrible and they have stripped off most of the customizable options. Reverting back to 7 until supported and if they don't fix this s*** will change the program with something else...	2018-08-07	1
Only Microsoft could take a product and call a downgrade an upgrade.	Only Microsoft could take a product and degrade it to such an abysmal level.Simple things, like the option to send a message using ctrl-enter instead of 'enter' have gone. Now if you want to send more than one paragraph in a message you have to remember that you cannot just hit 'enter'. Just how dim do you have to be to deprecate a very needed feature for many.The new version is inflexible with many configurable options gone. Why would anybody take away features?You can't even have chats in separate windows or control how your online presence is managed.Awful.	2018-08-07	1
Really bad new look	Really bad new look, no search option inside the chat, slow, confusing	2018-08-06	1
To be honest the new Skype Version 8.x…	"To be honest the new Skype Version 8.x is horrible it looks unclear and confusing. Before it was easy and instant to see which groups are active and actual, which users are online or away, text was easy to read for eyes. Now everything is overcomplex and filled with unnecessary text. Graphics and Colors and fonts are completely chaotic and disturbing while reading.It really seems the new microsoft era is: buying tech companies and distroy them. Same happened with ""Microsoft Phone aka Nokia"".How can you change a software in a way that i get so uggly and unpracticable that clients will not gonna use it anymore. It seems they hire outranged Google and Apple guys to make their application look modern and fancy but MS Managers are too incompetent to understand: if you hire bad people (even if they have 10 PhDs) they will completely distroy even stable working MS software. Secondly if you hire cheap fresh IT students and put them into work teams they will distroy your last working software aswell (see skype 8.X)!To the Management: How can you accept a dev. Team to change a major product in a way that is looses their entire userfriendly interface?If they are not doing a 180° turn around it seems to me its time to start alternative solutions. Im 99% sure most of the skype clients will agree on the fact MS is loosing a lot of skype users and activity if they are not able to get the 180° turn and change the software as it was at Version 7.X!"	2018-08-06	1
extremely terrible new design and…	extremely terrible new design and microsoft is not listening to customers. now they are pushing to get new skype version with that terrible GUI because old version will be discontinued. this is completely terrible!!	2018-08-06	1
bring back the old skype	dear skype, please bring back the old version for windows. the one where you can take screenshots and where calls really work. me, 15, just wants too see her boyfriend but can´t because skype wanted to update itself .-.	2018-08-05	1
Bad, Bad. Microsoft crap	Bad, Bad. Microsoft crap	2018-08-05	1
i cant open 2 skyps at the same time…	i cant open 2 skyps at the same time with the new version	2018-08-05	1
Doesn't workshop anymore on my Linux…	Doesn't workshop anymore on my Linux box. Only on my desktop pc win w10, but quality is horrible.	2018-08-04	1
It used to be good like over 10 years…	It used to be good like over 10 years ago... Now it's just a spam attachment to hotmail.  What I think is really bad though is how if you don't reply to a message now.. it says you still have that message.  Once you look at a message it should mark it as read.  My only guess is they have put on some REALLY bad designers and programmers.  Microsoft needs to remove the Skype add-on from hotmail too as it is 100% unwanted.	2018-08-03	1
Latest update is a total fail!	I've used Skype for years, with only minor problems here and there. Overall I would have rated it 4-5 stars until the latest update. I'm simply going to uninstall it now and use WhatsApp for video chats instead. When I make a call, the big picture (video) on my monitor is of myself - the small video image in the upper right corner is of the person I'm talking with (the opposite of how is used to be). Sometimes, the other person only sees my profile picture on their monitor (again, on the small video image on their computer), despite the fact that my video icon shows it's active. Sometimes, if I double click the image on my screen, the larger video will revert to that of the person with whom I'm speaking, as it used to be.The Skype icon no longer shows up on my taskbar when I'm not actively using the program. It took me days to find out how to get my contacts to display as they used to. I've never seen such a dramatic failure of an update!	2018-08-03	1
Total junk	Total junk - forget it, dont upgrade !	2018-08-03	1
A bunch of amateurs	A bunch of amateurs. Every update just makes it worse.	2018-08-03	1
This is the worst upgrade of skype…	This is the worst upgrade of skype ever. Needs to go back to the way it was at least it was usable not it is one big nightmare. come on you can do better than this mess.One star is too good.	2018-08-02	1
Whose idea is to make Skype useless?	Whose idea is to make Skype useless?	2018-08-02	1
TERRIBLE TERRIBLE TERRIBLE will find a…	TERRIBLE TERRIBLE TERRIBLE will find a better platform to use !!!So will everyone else I know	2018-08-02	1
The new skype is crap	The new skype is crap. It calls by itself. It can't be split in different contact windows. The old one was very good 5 stars. Why did you have to go and ruin it??	2018-08-01	1
Hangs and takes away control of what I do	New Skype is confusing, hangs and wants to take over what I do ... when I have used Skype for many years and was perfectly satisfied with how it worked before, leaving me in control	2018-07-31	1
Update has ruined Skype	I installed the update and lasted a week before rolling back to v7. It's hardly usable, is cluttered, the do not disturb status is gone and you can't search within a conversation. Apparently older versions won't work after the 1st September, so good luck everyone!	2018-07-31	1
Tried new  update for 2 days noyl…	Tried new  update for 2 days noyl seeing contacts who online but not away mode, also when do filter find soemone show u all your contacts there  mutal friends on there skype add, so contact sjype help center  she claim  wont be force to new update im now roll back to 7.40.0.151----- Patricia --Thank you for sharing this to me ------ 02:3002:31---- Patricia --Don't worry, if you do not want to use the current version of Skype you just have to ignore the pop up that is asking you to update to new version.	2018-07-30	1
Do not update!	When you think that Microsoft cannot ruin another product, here they are. Utter crap. Avoid update at all costs and by all means.	2018-07-30	1
Lets all thank microsoft for ruining…	Lets all thank microsoft for ruining another app, absolute horrendous sh*te	2018-07-29	1
This update is utter garbage	I've used Skype for the past ~8 years and this new update is just god awful. Old skype used to show the names and statuses of people in group chats. Now it says that there are X participants, and I have to click on it to see who's even in the group, and even in that window, it doesn't show any status update for anyone who isn't online. I want to see that people are offline/away/busy, don't lump them all into a non-existant indicator. When group video chatting, it forces you to either pick one person to focus on, or have everyone 'optimized' to fit the window. If they aren't centered to their camera you just can't see them. Why cant I have the option to see EVERYONE's FULL CAMERA, even if it would be smaller. Why can't I adjust the size of the chat box when I'm in a call?  So many useful features from the old skype have been stripped away leaving this un-customizable, frustrating-to-use shell of an app. It's like skype felt threatened by Discord's increasing popularity, tried to rush out an update and completely dropped the ball.	2018-07-29	1
Time for a new rival to skype?	"Ok, I'm fed up with all the ""improvements"" that just make this more and more useless. Does anyone remember the first version of skype where things just worked, you could be offline or away at choosing, calls just worked, you knew when messages where delivered and it didn't take up the whole screen of a tabled to view things.Vote up if you want to join a group of people to write a rival piece of software"	2018-07-28	1
10+ years of using skype just ended.	"After more than 10 years of using Skype as the go-to communications platform I'm now forced to update to the dreaded ""new"" update since older versions will stop working.It has terrible design that lacks some of the most basic functions. Good job destroying one of the biggest and best communication platforms for no reason and making long-lasting users switch to alternatives."	2018-07-28	1
This update was a mistake	Interface got a lot worse. Worst thing is, you can't see if someone is online unless their skype window is active. Are they killing skype on purpose?	2018-07-28	1
Worst user experience Skype ever…	Worst user experience Skype ever provided!	2018-07-27	1
Hmmm	No wonder everyone uses Discord now.	2018-07-27	1
It can't be this bad by mistake	Used Skype since beta version 2003, since 2009 the products has deteriorated to the appalling App it now is.  If Google Duo was available for the PC, Skype would disappear very quickly	2018-07-27	1
Why oh Why oh Why?	Shockingly bad, how to annoy customers. Skype 8 clearing designed by the computer illiterate for the computer illiterate. let's hope the Skype 8 managers soon find themselves out on the street.	2018-07-25	1
the old version was so much better	the old version was so much better	2018-07-25	1
